"pair","bg","bg.obs","bg.obs.se","single.1","s1.e","single.2","s2.e","expected.V","expected.se","observed.V","observed.se","epsilon","epsilon.se","eps.zero","eps.zero.se","bg.size","d.epsilon.ABC","d.epsilon.ABC.se","Vj.1.V2","Vj.1.V2.se","Vj.2.V2","Vj.2.V2.se","Vj.real.V2","se.real.V2","eps.2","eps.2.se"
"C-P","E",0,0,0.497554983536475,0.119851363359158,16.5688603364037,1.27040061643595,17.0664153199402,1.27604156497345,10.0102287513234,0.715198481518576,-7.05618656861677,1.46280242804911,2.52776901911999,0.286932933905884,1,-9.58395558773676,1.49067818527884,0.339957610763573,0.128840164092509,19.5941843390601,1.32053480070254,10.0102287513234,0.715198481518576,19.2542267282965,1.32680516570817
"C-P","M",2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,19.93100538979,3.13626088331845,17.3259018811328,3.14685080594748,12.3198887972832,0.923339464594911,-5.00601308384959,3.27951608652416,2.52776901911999,0.286932933905884,1,-7.53378210296958,3.29204439069867,2.94506111942078,0.288335662973337,22.45877440891,3.17564761046905,14.9249923059404,0.886576618358238,19.5137132894892,3.18871058586697
"C-P","S",1.49481754514853,0.0561185978486826,0.45865844142605,0.089012353752135,31.9195853193541,1.02342897122519,32.3782437607801,1.02729258649303,NA,NA,NA,NA,2.52776901911999,0.286932933905884,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-P","T",7.97124445026975,0.203194710922311,0.612834344846161,1.28722853889704,7.84888935250565,1.72344520786641,8.46172369735181,2.15109755610217,1.45987592288248,0.598060691902454,-7.00184777446933,2.23268835421954,2.52776901911999,0.286932933905884,1,-9.52961679358932,2.251050376075,8.31120206103332,0.240598999229395,18.9607371667416,2.18724458411539,9.43112037315223,0.562484222580545,10.6495351057083,2.20043785396732
"C-P","-",0,0,0,0,0.339957610763573,0.128840164092509,0.339957610763573,0.128840164092509,2.86772662988356,0.256380031742829,2.52776901911999,0.286932933905884,2.52776901911999,0.286932933905884,0,0,0.405784446621205,NA,NA,NA,NA,NA,NA,NA,NA
"C-S","E",0,0,0.497554983536475,0.119851363359158,1.38529816487041,0.0738498512300494,1.88285314840688,0.140776950619586,NA,NA,NA,NA,0.45865844142605,0.089012353752135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-S","M",2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,-0.91409830755532,0.279875406108817,-3.51920181621253,0.380615172587043,NA,NA,NA,NA,0.45865844142605,0.089012353752135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-S","P",0.339957610763573,0.128840164092509,2.52776901911999,0.286932933905884,33.074445253739,1.02997929590935,35.602214272859,1.06919963456867,NA,NA,NA,NA,0.45865844142605,0.089012353752135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-S","T",7.97124445026975,0.203194710922311,0.612834344846161,1.28722853889704,3.45749493612415,0.622142174929097,4.07032928097031,1.42969164408852,NA,NA,NA,NA,0.45865844142605,0.089012353752135,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-S","-",0,0,0,0,1.49481754514853,0.0561185978486826,1.49481754514853,0.0561185978486826,1.95347598657458,0.069093430194144,0.45865844142605,0.089012353752135,0.45865844142605,0.089012353752135,0,0,0.125882477895021,NA,NA,NA,NA,NA,NA,NA,NA
