"well","strain","f.j","starch","cond.SN","cond.SN.dil","x","cfu.m","cfu.sd","od600.m","od600.sd"
"F10","P",0.993173129437466,TRUE,"S","0.0125",0.05,184344.444444444,27280.2455447558,0.0706,0.0104477536128852
"F10","P",0.867722555980339,TRUE,"S","0.0125",0.025,184344.444444444,27280.2455447558,0.0706,0.0104477536128852
"F10","P",1,FALSE,"S","0.0125",0.5,184344.444444444,27280.2455447558,0.0706,0.0104477536128852
"F10","P",0,TRUE,"S","0.0125",0,NA,NA,NA,NA
"F11","P",0.998429877193966,TRUE,"S","0.00625",0.5,141783.333333333,12912.6125324919,0.0543,0.00494525586350752
"F11","P",0.999271014411484,TRUE,"S","0.00625",0.25,141783.333333333,12912.6125324919,0.0543,0.00494525586350752
"F11","P",0.998822407895475,TRUE,"S","0.00625",0.125,141783.333333333,12912.6125324919,0.0543,0.00494525586350752
"F11","P",0.986485728705209,TRUE,"S","0.00625",0.05,141783.333333333,12912.6125324919,0.0543,0.00494525586350752
"F11","P",0.755453372960242,TRUE,"S","0.00625",0.025,141783.333333333,12912.6125324919,0.0543,0.00494525586350752
"F11","P",1,FALSE,"S","0.00625",0.5,141783.333333333,12912.6125324919,0.0543,0.00494525586350752
"F11","P",0,TRUE,"S","0.00625",0,NA,NA,NA,NA
"F12","P",0.106469777062744,TRUE,"S","0",0.5,2611.11111111111,0,0.001,0
"F12","P",0.0933693403815216,TRUE,"S","0",0.25,2611.11111111111,0,0.001,0
"F12","P",0.0359687428177429,TRUE,"S","0",0.125,2611.11111111111,0,0.001,0
"F12","P",0.13738221098598,TRUE,"S","0",0.05,2611.11111111111,0,0.001,0
"F12","P",0.160365433233739,TRUE,"S","0",0.025,2611.11111111111,0,0.001,0
"F12","P",1,FALSE,"S","0",0.5,2611.11111111111,0,0.001,0
"F12","P",0,TRUE,"S","0",0,NA,NA,NA,NA
"G01","P",0.998259759846859,TRUE,"T","0.1",0.5,105750,2820.32234097378,0.0405,0.00108012344973464
"G01","P",0.999129879923429,TRUE,"T","0.1",0.25,105750,2820.32234097378,0.0405,0.00108012344973464
"G01","P",0.99605545565288,TRUE,"T","0.1",0.125,105750,2820.32234097378,0.0405,0.00108012344973464
"G01","P",0.995939439642671,TRUE,"T","0.1",0.05,105750,2820.32234097378,0.0405,0.00108012344973464
"G01","P",0.908927431985614,TRUE,"T","0.1",0.025,105750,2820.32234097378,0.0405,0.00108012344973464
"G01","P",1,FALSE,"T","0.1",0.5,105750,2820.32234097378,0.0405,0.00108012344973464
"G01","P",0,TRUE,"T","0.1",0,NA,NA,NA,NA
"G02","P",0.998860853220938,TRUE,"T","0.05",0.5,87994.4444444444,9538.40155646639,0.0337,0.00365300485141266
"G02","P",0.999145639915703,TRUE,"T","0.05",0.25,87994.4444444444,9538.40155646639,0.0337,0.00365300485141266
"G02","P",0.998405194509313,TRUE,"T","0.05",0.125,87994.4444444444,9538.40155646639,0.0337,0.00365300485141266
"G02","P",0.888648402346642,TRUE,"T","0.05",0.05,87994.4444444444,9538.40155646639,0.0337,0.00365300485141266
"G02","P",0.693569516432192,TRUE,"T","0.05",0.025,87994.4444444444,9538.40155646639,0.0337,0.00365300485141266
"G02","P",1,FALSE,"T","0.05",0.5,87994.4444444444,9538.40155646639,0.0337,0.00365300485141266
"G02","P",0,TRUE,"T","0.05",0,NA,NA,NA,NA
"G03","P",0.998210791165781,TRUE,"T","0.025",0.5,56661.1111111111,1762.36567846645,0.0217,0.000674948557710553
"G03","P",0.998937657254683,TRUE,"T","0.025",0.25,56661.1111111111,1762.36567846645,0.0217,0.000674948557710553
"G03","P",0.99832261671792,TRUE,"T","0.025",0.125,56661.1111111111,1762.36567846645,0.0217,0.000674948557710553
"G03","P",0.929605814928711,TRUE,"T","0.025",0.05,56661.1111111111,1762.36567846645,0.0217,0.000674948557710553
"G03","P",0.687335756220296,TRUE,"T","0.025",0.025,56661.1111111111,1762.36567846645,0.0217,0.000674948557710553
"G03","P",1,FALSE,"T","0.025",0.5,56661.1111111111,1762.36567846645,0.0217,0.000674948557710553
"G03","P",0,TRUE,"T","0.025",0,NA,NA,NA,NA
"G04","P",0.993715363080615,TRUE,"T","0.0125",0.5,53005.5555555556,2149.6562394657,0.0203,0.000823272602348565
"G04","P",0.899617208478547,TRUE,"T","0.0125",0.25,53005.5555555556,2149.6562394657,0.0203,0.000823272602348565
"G04","P",0.466777123921613,TRUE,"T","0.0125",0.125,53005.5555555556,2149.6562394657,0.0203,0.000823272602348565
"G04","P",0.22447580414786,TRUE,"T","0.0125",0.05,53005.5555555556,2149.6562394657,0.0203,0.000823272602348565
"G04","P",0.154430669028167,TRUE,"T","0.0125",0.025,53005.5555555556,2149.6562394657,0.0203,0.000823272602348565
"G04","P",1,FALSE,"T","0.0125",0.5,53005.5555555556,2149.6562394657,0.0203,0.000823272602348565
"G04","P",0,TRUE,"T","0.0125",0,NA,NA,NA,NA
"G05","P",0.221843391294465,TRUE,"T","0.00625",0.5,2611.11111111111,0,0.001,0
"G05","P",0.157688373678827,TRUE,"T","0.00625",0.25,2611.11111111111,0,0.001,0
"G05","P",0.183259461302421,TRUE,"T","0.00625",0.125,2611.11111111111,0,0.001,0
"G05","P",0.157120127287192,TRUE,"T","0.00625",0.05,2611.11111111111,0,0.001,0
"G05","P",0.0841004659620412,TRUE,"T","0.00625",0.025,2611.11111111111,0,0.001,0
"G05","P",1,FALSE,"T","0.00625",0.5,2611.11111111111,0,0.001,0
"G05","P",0,TRUE,"T","0.00625",0,NA,NA,NA,NA
