"pair","bg","bg.obs","bg.obs.se","single.1","s1.e","single.2","s2.e","expected.V","expected.se","observed.V","observed.se","epsilon","epsilon.se","eps.zero","eps.zero.se","bg.size","d.epsilon.ABC","d.epsilon.ABC.se"
"C-E","P-S-T",33.1989726140343,0.563990636843554,NA,NA,-4.6751119897571,2.01181549318901,NA,NA,-1.04625386078219,0.714658397308893,NA,NA,0.497554983536475,0.119851363359158,3,NA,NA
"C-E","M-P-S-T",36.0125513575433,0.52486187609572,-12.2100656328909,2.4281772830476,1.2690068709165,1.11889056455805,-10.9410587619744,2.67356709535509,-11.5074372346141,0.706314154387293,-0.566378472639698,2.76529215419516,0.497554983536475,0.119851363359158,4,-1.06393345617617,2.76788819271161
"C-E","P-T",15.8201338027754,1.71142493086051,-6.38901342962317,1.8014893268135,0.9458186325424,2.049185760257,-5.44319479708077,2.72846588299414,-0.5235526429632,2.02430747209499,4.91964215411757,3.39740295170335,0.497554983536475,0.119851363359158,2,4.4220871705811,3.39951631346897
"C-E","M-T",11.2245556526682,0.693467124030279,-2.614130561447,0.813418878058967,-0.1293310456611,0.949323868832642,-2.7434616071081,1.25014642307135,-1.69418082242072,0.984782684178323,1.04928078468738,1.59143426322784,0.497554983536475,0.119851363359158,2,0.551725801150905,1.59594090225002
"C-E","M-S-T",13.3055673460416,0.83280066165817,NA,NA,-1.214311142812,1.0889843224248,NA,NA,-1.8855477287651,1.60850864102378,NA,NA,0.497554983536475,0.119851363359158,3,NA,NA
"C-E",NA,0,0,0,0,0,0,0,0,0.497554983536475,0.119851363359158,0.497554983536475,0.119851363359158,0.497554983536475,0.119851363359158,0,0,0.169495423531427
"C-M","E",0,0,0.497554983536475,0.119851363359158,1.52770306248583,0.0926138611235951,2.02525804602231,0.151465100175814,0.528316968781174,0.0911117039040756,-1.49694107724113,0.176756949395415,-2.60510350865721,0.257948961344854,1,1.10816243141608,0.312699033926334
"C-M","E-P-S",30.5512849129792,1.23232357733621,NA,NA,5.2816458049619,1.39168281629907,NA,NA,0.531149536563102,1.640059236272,NA,NA,-2.60510350865721,0.257948961344854,3,NA,NA
"C-M","E-P-S-T",28.5238606242772,1.93114373887294,3.6288581289749,1.98039574999167,8.7576976041826,2.16927458996469,12.3865557331575,2.93729800552337,-4.018746501348,1.98814381670373,-16.4053022345055,3.54689094971199,-2.60510350865721,0.257948961344854,4,-13.8001987258483,3.55625829711619
"C-M","E-P",16.5688603364037,1.27040061643595,-6.5586315850803,1.45788428697456,5.3813169545324,2.7939822567093,-1.1773146305479,3.15147004507638,-4.8594255312708,1.93863914250766,-3.6821109007229,3.70001150942487,-2.60510350865721,0.257948961344854,2,-1.07700739206569,3.70899215913642
"C-M","E-P-T",16.7659524353178,1.12702572555783,-1.4693712755056,1.56174019403929,3.6756835499345,1.45273144406827,2.2063122744289,2.13294657276326,-3.4455912339138,2.56477527292031,-5.6519035083427,3.33579574956951,-2.60510350865721,0.257948961344854,3,-3.04679999968549,3.3457541675241
"C-M","E-S",1.38529816487041,0.0738498512300494,NA,NA,1.30050767745486,0.187769493255702,NA,NA,NA,NA,NA,NA,-2.60510350865721,0.257948961344854,2,NA,NA
"C-M","E-S-T",12.030689941714,0.618418419031017,NA,NA,0.0605662615156,0.935292068514178,NA,NA,-0.6106703244375,1.50870290222651,NA,NA,-2.60510350865721,0.257948961344854,3,NA,NA
"C-M","P",0.339957610763573,0.128840164092509,2.52776901911999,0.286932933905884,22.1961512876836,3.12828938070919,24.7239203068036,3.14142085019148,14.5850346951768,0.895889439664802,-10.1388856116268,3.26667152406248,-2.60510350865721,0.257948961344854,1,-7.53378210296958,3.27684001940582
"C-M","E-T",11.278371350314,0.624101148595879,-1.157409126694,0.825233189212375,-0.183146743306899,0.899900772031697,-1.3405558700009,1.22099599347454,-1.74799652006652,0.937231309029597,-0.40744065006562,1.53923154291556,-2.60510350865721,0.257948961344854,2,2.19766285859159,1.5606958093636
"C-M","S-T",11.4287393863939,0.588024485271409,NA,NA,1.8768279596477,1.01947522644594,NA,NA,NA,NA,NA,NA,-2.60510350865721,0.257948961344854,2,NA,NA
"C-M","S",1.49481754514853,0.0561185978486826,0.45865844142605,0.089012353752135,0.19618765595336,0.122236955582951,0.65484609737941,0.151212011529123,NA,NA,NA,NA,-2.60510350865721,0.257948961344854,1,NA,NA
"C-M","T",7.97124445026975,0.203194710922311,0.612834344846161,1.28722853889704,3.25331120239845,0.722623513772994,3.86614554724461,1.47619174025892,0.639180640951451,0.471213019364581,-3.22696490629316,1.54957534945137,-2.60510350865721,0.257948961344854,1,-0.621861397635951,1.570898287696
"C-M","P-S",33.4144028645026,1.02188921225275,NA,NA,-9.2570835469358,1.93555809847267,NA,NA,NA,NA,NA,NA,-2.60510350865721,0.257948961344854,2,NA,NA
"C-M","P-S-T",33.1989726140343,0.563990636843554,NA,NA,2.81357874350901,0.770431974560971,NA,NA,-9.3964868893819,2.43693462517502,NA,NA,-2.60510350865721,0.257948961344854,3,NA,NA
"C-M","P-T",15.8201338027754,1.71142493086051,-6.38901342962317,1.8014893268135,2.5810658458355,2.11381984692882,-3.80794758378767,2.77733651902198,-0.00483168168829984,1.8812797828797,3.80311590209937,3.35452109269938,-2.60510350865721,0.257948961344854,2,6.40821941075658,3.36442408563842
"C-M",NA,0,0,0,0,2.60510350865721,0.257948961344854,2.60510350865721,0.257948961344854,0,0,-2.60510350865721,0.257948961344854,-2.60510350865721,0.257948961344854,0,0,0.364794919533946
"C-P","E-M-T",11.0952246070071,0.648320257144992,-1.56484977675962,0.953529988396371,9.3464113782452,1.12274699658474,7.78156160148558,1.4730173987809,2.2251365943969,2.39336674380231,-5.55642500708868,2.81033532295527,2.52776901911999,0.286932933905884,3,-8.08419402620867,2.82494515628356
