"S2","S1","Vj.fit","se","Vj.s1","se.s1","od.m.x","od.sd.x","Vj.s2","se.s2","od.m.y","od.sd.y","Vj.pred","Vj.pred.se","xt","f.fitted","upper.f.fitted","lower.f.fitted","f.pred","upper.f.pred","lower.f.pred"
"C","E",0.118407044972418,0.00741942590072597,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.128393037732177,0.0189126428768667,0.121212121212121,0.000102015049096793,0.000129031797081569,7.8141570334811e-05,0.000119851118010494,0.000200258728463965,5.98180577420226e-05
"C","M",0.988512062582894,0.0357302860722967,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.943095383188889,0.078164113919539,0.121212121212121,0.0066299281963671,0.00757970791325946,0.00573873107748868,0.00605667572989332,0.00812875436620142,0.0042682861240867
"C","P",0.160993943808967,0.0110808157067886,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.201156513630129,0.0253337365811457,0.121212121212121,0.000187947165880331,0.000242817839748222,0.000140014943562194,0.000292467760085957,0.000456488577859071,0.000164359394471791
"C","S",0.710885540380914,0.0179965581112947,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,0.717396768528968,0.134020475124685,0.121212121212121,0.00350592972624209,0.0038587810489833,0.00316903636167731,0.00356858320418041,0.00659037382289474,0.00143056897527694
"C","T",3.60081393827509,0.22124759219211,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.217480404291784,0.0157541619036859,0.26234,0.00429453140633527,3.94147596640906,0.265557365436775,0.121212121212121,0.0715873173349505,0.0872161151434346,0.057007463890653,0.0835344918068985,0.103239270469339,0.0651742760967133
"E","E",0.0393056711725707,0.0104639592554802,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.0393056711725707,0.0147982730952196,0.121212121212121,1.13134067417642e-05,2.65232277752991e-05,2.47743354364616e-06,1.13134067417642e-05,3.46825688026797e-05,6.91960924670276e-07
"E","M",0.88469217783498,0.024727676759557,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.854008016629283,0.0772717900066995,0.121212121212121,0.00535473560494537,0.00594654961171681,0.00479174121104575,0.00500201368496889,0.00689040887205772,0.00339729350414975
"E","P",0.109934527346908,0.0133150806811061,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.112069147070522,0.022429869263455,0.121212121212121,8.79983198067702e-05,0.000135503209992116,5.06378594729018e-05,9.14331025899662e-05,0.000178634326094218,3.3003832505929e-05
"E","S",0.630504551677014,0.0358923511332829,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,0.628309401969361,0.133502017133297,0.121212121212121,0.00277576064936147,0.00342401303009843,0.00219228902021373,0.0027569521269335,0.00547941871250746,0.000931438713940858
"E","T",3.74927846446143,0.239215690875848,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.0393056711725707,0.0104639592554802,0.3415,0.00969974226461713,3.85238859984945,0.265296089612594,0.121212121212121,0.0767217949932536,0.0940027773810475,0.060606974045344,0.0803540833245464,0.0998309333341786,0.0622617275750471
"M","M",1.66871036208599,0.0765600097148578,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.66871036208599,0.108272204074168,0.121212121212121,0.0178961414999637,0.0210734544758946,0.0149433267887586,0.0178961414999637,0.0224531039933122,0.013788220737145
"M","P",0.950036785518686,0.0373289538410525,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,0.926771492527234,0.0790888088127167,0.121212121212121,0.00614274758212729,0.00710357640453774,0.00524650031707308,0.00585646896137126,0.00792528592616615,0.00407931893337132
"M","S",1.40477439100873,0.0708902852441646,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,1.44301174742607,0.153540643553744,0.121212121212121,0.0129517305834692,0.0155218926394827,0.0105882711670012,0.0136248575536142,0.0195575140813994,0.00865228418857544
"M","T",5.57493264826994,0.415936064740689,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,1.66871036208599,0.0765600097148578,0.05836,0.0127805711922433,4.66709094530616,0.275923822472748,0.121212121212121,0.147420600225505,0.182815905859673,0.113712791821883,0.110743785537482,0.132747948906289,0.0898455720019099
"P","P",0.184832622968474,0.01983947055431,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.184832622968474,0.0280572483282068,0.121212121212121,0.000247251430335327,0.000363638084245221,0.000152977606212579,0.000247251430335327,0.000418273132590796,0.000120455647317885
"P","S",0.790451884248397,0.0227637951910909,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,0.701072877867313,0.134561876946013,0.121212121212121,0.00430708738128727,0.00479998052888864,0.00383921454849168,0.0034124954299144,0.00639588676167324,0.00132373608950187
"P","T",3.13964187734323,0.191830583687213,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,0.184832622968474,0.01983947055431,0.00454,0.00260633842775646,3.9251520757474,0.265831008936709,0.121212121212121,0.0564175371913307,0.0689531880931228,0.0447981907778049,0.0829488694886861,0.102636893743112,0.0646159618758695
"S","S",1.21731313276615,0.133091299998755,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,1.21731313276615,0.188219521492106,0.121212121212121,0.00987211210898131,0.0143537480393021,0.00615636074446924,0.00987211210898131,0.0164219896677245,0.00485444827686254
"S","T",5.452185456884,0.504923809215251,7.66547152852633,0.265089646573444,0.1933,0.0182366389447179,1.21731313276615,0.133091299998755,0.15492,0.00665146600382202,4.44139233064624,0.29662402946456,0.121212121212121,0.142323956358245,0.185209457029872,0.102085028150442,0.102049012189257,0.125291098143421,0.0802035242145288
