"V1","V2","len.v1","len.v2","all.in","Vj.real.V1","Vj.real.V2","se.real.V1","se.real.V2","Vj.1.V1","Vj.1.V2","Vj.1.V1.se","Vj.1.V2.se","Vj.2.V1","Vj.2.V1.se","Vj.2.V2","Vj.2.V2.se","Vj.3.V1","Vj.3.V1.se","Vj.3.V2","Vj.3.V2.se","vari","poly","l1","l2","eps.h","eps.h.se","eps.h3","eps.h3.se"
"M-S-T","E-M-S-T",3,4,TRUE,13.3055673460416,12.0912562032296,0.83280066165817,0.701662249539412,12.0711655040755,12.0711655040755,0.333129185497447,0.333129185497447,12.2731347360885,1.08230641981178,14.3933418096833,1.29842042962732,13.3055673460416,1.74250719217737,12.6527804233292,2.5874278562699,-1.214311142812,"N",0,1,-2.30208560645365,1.4758812704626,-0.56152422009963,2.68087911399044
"E-M-S","E-M-S-T",3,4,TRUE,2.68580584232527,12.0912562032296,0.172637139894064,0.701662249539412,4.09992105380574,12.0711655040755,0.263982885209233,0.333129185497447,0.504085374652389,0.48464894009456,14.3933418096833,1.29842042962732,2.68580584232527,0.706804621051931,12.6527804233292,2.5874278562699,9.40545036090433,"N",0,1,-2.30208560645365,1.4758812704626,-0.56152422009963,2.68087911399044
"E","E-M",1,2,TRUE,0,1.52770306248583,0,0.0926138611235951,0,2.60510350865721,0,0.257948961344854,0,0,1.52770306248583,0.376367719909663,0,0,1.52770306248583,0.376367719909663,1.52770306248583,"N",0,1,2.22044604925031e-16,0,2.22044604925031e-16,0
"E","E-P",1,2,TRUE,0,16.5688603364037,0,1.27040061643595,0,0.339957610763573,0,0.128840164092509,0,0,16.5688603364037,1.28340067866883,0,0,16.5688603364037,1.28340067866883,16.5688603364037,"P",0,1,2.48689957516035e-14,0,2.48689957516035e-14,0
"E","E-S",1,2,TRUE,0,1.38529816487041,0,0.0738498512300494,0,1.49481754514853,0,0.0561185978486826,0,0,1.38529816487041,0.108408461734796,0,0,1.38529816487041,0.108408461734796,1.38529816487041,"N",0,1,0,0,0,0
"E","E-T",1,2,TRUE,0,11.278371350314,0,0.624101148595879,0,7.97124445026975,0,0.203194710922311,0,0,11.278371350314,0.687079634956748,0,0,11.278371350314,0.687079634956748,11.278371350314,"N",0,1,0,0,0,0
"E-P-S-T","C-E-P-S-T",4,5,TRUE,28.5238606242772,32.1527187532521,1.93114373887294,0.438920478443325,9.80601960618185,9.80601960618185,0.247057028749818,0.247057028749818,70.2837666928963,2.56359671626275,74.380583481825,2.88679813841625,12.4571136049671,4.82353156008396,-4.82744044250687,5.90073623686103,3.6288581289749,"PP",0,1,-42.2278647285729,2.91997511605158,36.980159195759,5.91703805323252
"C-E-P-S-T","C-E-M-P-S-T",5,6,TRUE,32.1527187532521,24.5051141229292,0.438920478443325,0.47265177002643,9.80601960618185,12.4111231148391,0.247057028749818,0.357176205973435,74.380583481825,2.88679813841625,91.1335226557174,4.36631742829296,-4.82744044250687,5.90073623686103,-59.3119327641966,10.4745969973672,-7.6476046303229,"PP",0,1,-66.6284085327882,4.39182508535164,83.8170468871258,10.4852554548262
"C-E-P-T","C-E-P-S-T",4,5,TRUE,15.2965811598122,32.1527187532521,1.08113155888112,0.438920478443325,8.31120206103332,9.80601960618185,0.240598999229395,0.247057028749818,38.9943217759624,2.61910501286048,74.380583481825,2.88679813841625,-0.97726005358227,4.79860531938078,-4.82744044250687,5.90073623686103,16.8561375934399,"PP",0,1,-42.2278647285729,2.91997511605158,36.980159195759,5.91703805323252
"E-M","C-E-M",2,3,TRUE,1.52770306248583,0.528316968781174,0.0926138611235951,0.0911117039040756,2.60510350865721,2.60510350865721,0.257948961344854,0.257948961344854,1.52770306248583,0.376367719909663,-0.579845462634905,0.471757010067616,1.52770306248583,0.376367719909663,0.528316968781174,0.673357776879555,-0.999386093704656,"N",0,1,1.10816243141608,0.480474785120136,0,0
