"cond.SN","cond.SN.dil","strain","well","fit","fit.se"
"M","0.1","E","D01",3.76838698577378,0.244709661754982
"M","0.05","E","D02",6.64468488804391,0.250954274753599
"M","0.025","E","D03",5.31973278869064,0.189823905977671
"M","0.0125","E","D04",2.24416512278023,0.32907263929259
"M","0.00625","E","D05",3.79514874234216,0.302708402204249
"M","0","E","D06",2.25202497753483,0.149625230463929
"P","0.1","E","E01",6.88677933254953,0.894581543829375
"P","0.05","E","E02",7.57013133884026,0.818414235124773
"P","0.025","E","E03",7.39274927146954,0.528792012080413
"P","0.0125","E","E04",4.64087253093003,0.525662635864727
"P","0.00625","E","E05",1.79357449748957,0.0938679772125108
"P","0","E","E06",1.14764059899406,0.126343522430818
"S","0.1","E","F01",3.43821200228986,0.143635947354242
"S","0.05","E","F02",3.89216665428629,0.0531756852674955
"S","0.025","E","F03",-0.659344281657685,0.0259145517826365
"S","0.0125","E","F04",1.2043475928916,0.111431314744048
"S","0.00625","E","F05",2.18812631405884,0.165469395066556
"S","0","E","F06",0.53820871625264,0.202359252010934
"T","0.1","E","G01",1.27607088337013,0.134471546135759
"T","0.05","E","G02",4.65211242886858,0.252815737262253
"T","0.025","E","G03",0.647415113655862,0.0770757165302457
"T","0.0125","E","G04",0.0598655337427158,0.500026192451188
"T","0.00625","E","G05",0.37257219839894,0.0892028774915211
"T","0","E","G06",0.976037360341601,0.126249814204803
"C","0.1","M","A01",4.9043532040396,0.348226286376094
"C","0.05","M","A02",5.26375553662851,0.361529002746421
"C","0.025","M","A03",3.39732341053782,0.435235544847582
"C","0.0125","M","A04",1.33277473575921,0.178438039314328
"C","0.00625","M","A05",1.73994456173357,0.386252574307141
"C","0","M","A06",3.13027632184388,0.452279940547932
"C","0.1","M","A07",6.61832209479285,0.324418685541686
"C","0.025","M","A09",3.72244546813547,0.445749796214446
"C","0.0125","M","A10",3.48883725792951,0.694629336236848
"C","0.00625","M","A11",3.87779463827322,0.492852430317504
"C","0","M","A12",5.58596588510708,0.383297393723788
"E","0.1","M","B01",7.34392210042143,0.868670039807125
"E","0.05","M","B02",5.07248774868901,0.196827602457092
"E","0.025","M","B03",5.35198292363248,0.331179848060949
"E","0.0125","M","B04",3.06056459100034,0.323910258262201
"E","0.00625","M","B05",3.6320222991597,0.272782990496326
"E","0","M","B06",2.71517685104098,0.201480351875382
"E","0.1","M","B07",4.90350174084566,0.348732795868349
"E","0.025","M","B09",2.74441014329014,0.23377474167762
"E","0.0125","M","B10",3.57499150110181,0.317967763645966
"E","0.00625","M","B11",3.64716076377914,0.448914532345049
"E","0","M","B12",1.71689739637414,0.183474781205236
"M","0.1","M","D01",6.48931618169241,0.395231204359178
"M","0.05","M","D02",7.42274387295804,0.507918532933751
"M","0.025","M","D03",5.75885239381916,0.459879192699207
"M","0.0125","M","D04",4.03224620905759,0.398976033203582
"M","0.00625","M","D05",1.97560062322009,0.224717940249582
"M","0","M","D06",1.74556594107223,0.220746441757449
"M","0.1","M","D07",8.02324751859099,0.485798166263089
"M","0.05","M","D08",8.08034411188756,0.407527018224332
"M","0.025","M","D09",4.67049882932378,0.391457452056376
"M","0.0125","M","D10",4.50782894231617,0.538013815421935
"M","0.00625","M","D11",4.04873515011171,0.420613978287679
"M","0","M","D12",1.86871028394713,0.232390577369132
"P","0.1","M","E01",9.91832660273866,0.714326239601807
"P","0.05","M","E02",9.6591636629274,0.39994009853284
"P","0.025","M","E03",7.55285312845374,0.236530239110989
"P","0.0125","M","E04",2.6545445714721,0.266489289902757
"P","0.00625","M","E05",1.8380147799767,0.224012616372352
"P","0","M","E06",2.53275110456576,0.255524544667106
"P","0.1","M","E07",9.74856753692305,0.659981698102302
"P","0.05","M","E08",8.80443066836824,0.355492386317691
"P","0.025","M","E09",7.73697091477056,0.210643037401194
"P","0.0125","M","E10",7.016644362793,0.654049667564171
"P","0.00625","M","E11",6.51969972304725,0.277386522942431
"P","0","M","E12",2.19735743651134,0.363947624748701
"S","0.1","M","F01",8.54508293782637,0.727440400271546
"S","0.05","M","F02",7.77671503995038,1.14501003079815
"S","0.025","M","F03",3.3074857399832,0.527177489392662
"S","0.0125","M","F04",1.00260638475046,0.438680767564038
"S","0.00625","M","F05",0.345428112085998,0.200712999570888
"S","0","M","F06",2.32695347688894,0.177675379398743
"S","0.1","M","F07",4.40864575091679,0.670306379587983
"S","0.05","M","F08",5.61988209060511,0.40893374869602
"S","0.025","M","F09",4.80570244684215,0.345833041364599
"S","0.0125","M","F10",3.91769289532506,0.608869811030631
"S","0.00625","M","F11",3.1428859147953,0.369393565442148
"S","0","M","F12",2.54202881076716,0.34232630585463
"T","0.1","M","G01",10.8269663367851,0.711418650298079
"T","0.05","M","G02",7.9817624545636,0.376097455306103
"T","0.025","M","G03",3.9088658249041,0.419227698069052
"T","0.0125","M","G04",2.9536936128825,0.314486295427976
"T","0.00625","M","G05",0.739195313458637,0.202506414704691
"T","0","M","G06",7.0032860690997,0.417787899506352
"T","0.1","M","G07",9.33731554839681,0.66285910896032
"T","0.05","M","G08",8.68838588245378,0.527912676281289
"T","0.025","M","G09",7.62649101822065,0.362928870069324
"T","0.0125","M","G10",7.84047190900732,0.754162340326855
"T","0.00625","M","G11",6.68701002577381,0.591321195645814
"T","0","M","G12",2.31024478809599,0.344119268095389
"C","0.1","P","A01",38.1806043292599,0.24989975224512
"C","0.05","P","A02",26.3037541602832,0.525637767453551
"C","0.025","P","A03",6.40543672116661,0.152764557993962
"C","0.0125","P","A04",0.712283605669511,0.103134147777461
"C","0.00625","P","A05",0,0
"C","0","P","A06",1.00181805181405,0.297890006973657
"C","0.1","P","A07",30.2501628618257,0.151949787466513
"C","0.05","P","A08",27.4085980197139,1.39345894286306
"C","0.025","P","A09",9.99141682272864,0.627547818456616
"C","0.0125","P","A10",0.554160129129945,0.18283252689788
"C","0.00625","P","A11",0.48810239526816,0.189946916658208
"C","0","P","A12",0.33639459873057,0.113088367796401
"E","0.1","P","B01",0.416763443194007,0.0850673819431794
"E","0.05","P","B02",0.506710474276797,0.116103304761793
"E","0.025","P","B03",0.671495061509261,0.194961538747397
"E","0.0125","P","B04",0.457555919674694,0.0546995177069929
"E","0.00625","P","B05",0.662644472359974,0.238409523431505
"E","0","P","B06",0.704329833763589,0.171933568866882
"E","0.1","P","B07",0.31805318373881,0.158026266172941
"E","0.05","P","B08",0.438700640789728,0.232914651896102
"E","0.025","P","B09",0.306994256167924,0.197201690783265
"E","0.0125","P","B10",0.408752222816997,0.180123886422895
"E","0.00625","P","B11",0.612958845832512,0.250022135209265
"E","0","P","B12",0.337243542431796,0.116126682229281
"M","0.1","P","D01",39.1183315880335,0.488213033947635
"M","0.05","P","D02",40.0920161513086,0.249826807332545
"M","0.025","P","D03",44.2676276776322,0.434814734306148
"M","0.0125","P","D04",40.4684263653415,2.79505635551282
"M","0.00625","P","D05",13.0324478446494,2.56068231939456
"M","0","P","D06",0.65535859082449,0.213920541004609
"M","0.1","P","D07",8.75693424240806,1.23679902725656
"M","0.05","P","D08",57.7099408530022,0.348380378766137
"M","0.025","P","D09",12.5539939676369,1.09415306330339
"M","0.0125","P","D10",40.2950351524151,0.954046450732868
"M","0.00625","P","D11",36.3654705473136,0.558299677906938
"M","0","P","D12",0.614494232258756,0.171024306972408
"P","0.1","P","E01",2.35944611735023,0.112472513735462
"P","0.05","P","E02",1.07818853732681,0.203115412350033
"P","0.025","P","E03",0.681129810512504,0.119437432973176
"P","0.0125","P","E04",0.595309056929548,0.198107882816595
"P","0.00625","P","E05",0.510968439925611,0.216457800218384
"P","0","P","E06",0.61686756151581,0.18690856696123
"P","0.1","P","E07",2.00092977553054,0.268010153886413
"P","0.05","P","E08",1.04839449631538,0.279056091088181
"P","0.025","P","E09",0.464888167411056,0.208624225265301
"P","0.0125","P","E10",0.682903721959208,0.229279534454262
"P","0.00625","P","E11",0.464805973724224,0.155443409509941
"P","0","P","E12",0.605462151236712,0.267843525910937
"S","0.1","P","F01",45.9040756661084,0.229832178685901
"S","0.05","P","F02",37.1776639532956,1.0370841490879
"S","0.025","P","F03",47.524706583922,0.151442709384738
"S","0.0125","P","F04",41.2314330091538,0.113334656814731
"S","0.00625","P","F05",39.6199477703168,0.783773429808547
"S","0","P","F06",0,0
"S","0.1","P","F07",30.665235475953,1.3505563520669
"S","0.05","P","F08",36.3872390537868,0.766487829019022
"S","0.025","P","F09",38.0242026470578,0.609496338904992
"S","0.0125","P","F10",47.1284216233078,0.14533359112308
"S","0.00625","P","F11",36.563435610934,0.457368935545995
"S","0","P","F12",0.417006253020745,0.183831476083378
"T","0.1","P","G01",53.4113023703069,0.369163131964279
"T","0.05","P","G02",30.7942048397177,1.45523354952025
"T","0.025","P","G03",31.3195778467316,0.495221626755258
"T","0.0125","P","G04",4.76123099589297,0.432097839777786
"T","0.00625","P","G05",0.683870164654568,0.183205211486947
"T","0","P","G06",0.530594380424589,0.234943263278009
"T","0.1","P","G07",46.1311831460091,0.221324589426677
"T","0.05","P","G08",37.8166993502887,0.206613629294145
"T","0.025","P","G09",30.6397657838613,0.193353634736744
"T","0.0125","P","G10",5.89376189308364,0.680911373074308
"T","0.00625","P","G11",0.532169890435796,0.172391888880699
"T","0","P","G12",0.494250982352458,0.130375960841789
"C","0.1","S","A01",1.42270388361331,0.213252128037066
