"cfu.m","predicted"
2910,0.109998510706516
2920,0.110369288899366
2930,0.110740018564426
2940,0.111110699711224
2950,0.111481332349283
2960,0.111851916488125
2970,0.112222452137269
2980,0.112592939306231
2990,0.112963378004526
3000,0.113333768241664
3010,0.113704110027154
3020,0.114074403370504
3030,0.114444648281217
3040,0.114814844768795
3050,0.115184992842736
3060,0.115555092512538
3070,0.115925143787693
3080,0.116295146677695
3090,0.116665101192032
3100,0.11703500734019
3110,0.117404865131655
3120,0.117774674575906
3130,0.118144435682425
3140,0.118514148460686
3150,0.118883812920165
3160,0.119253429070334
3170,0.119622996920661
3180,0.119992516480614
3190,0.120361987759656
3200,0.12073141076725
3210,0.121100785512854
3220,0.121470112005927
3230,0.121839390255922
3240,0.122208620272291
3250,0.122577802064485
3260,0.122946935641949
3270,0.123316021014128
3280,0.123685058190465
3290,0.124054047180399
3300,0.124422987993367
3310,0.124791880638804
3320,0.125160725126143
3330,0.125529521464813
3340,0.125898269664241
3350,0.126266969733852
3360,0.126635621683069
3370,0.127004225521311
3380,0.127372781257997
3390,0.12774128890254
3400,0.128109748464354
3410,0.128478159952849
3420,0.128846523377432
3430,0.129214838747509
3440,0.129583106072482
3450,0.129951325361752
3460,0.130319496624716
3470,0.13068761987077
3480,0.131055695109307
3490,0.131423722349717
3500,0.131791701601388
3510,0.132159632873707
3520,0.132527516176055
3530,0.132895351517814
3540,0.133263138908362
3550,0.133630878357075
3560,0.133998569873327
3570,0.134366213466487
3580,0.134733809145925
3590,0.135101356921006
3600,0.135468856801095
3610,0.135836308795551
3620,0.136203712913735
3630,0.136571069165003
3640,0.136938377558707
3650,0.1373056381042
3660,0.137672850810831
3670,0.138040015687946
3680,0.138407132744889
3690,0.138774201991001
3700,0.139141223435623
3710,0.139508197088091
3720,0.139875122957739
3730,0.140242001053899
3740,0.1406088313859
3750,0.140975613963071
3760,0.141342348794735
3770,0.141709035890214
3780,0.142075675258829
3790,0.142442266909896
3800,0.142808810852732
3810,0.143175307096647
3820,0.143541755650953
3830,0.143908156524956
3840,0.144274509727963
3850,0.144640815269276
3860,0.145007073158196
3870,0.14537328340402
3880,0.145739446016044
3890,0.146105561003561
3900,0.146471628375862
3910,0.146837648142235
3920,0.147203620311967
3930,0.14756954489434
3940,0.147935421898635
3950,0.148301251334132
3960,0.148667033210107
3970,0.149032767535833
3980,0.149398454320582
3990,0.149764093573623
4000,0.150129685304222
4010,0.150495229521644
4020,0.15086072623515
4030,0.151226175454
4040,0.151591577187451
4050,0.151956931444757
4060,0.152322238235171
4070,0.152687497567942
4080,0.153052709452318
4090,0.153417873897544
4100,0.153782990912861
4110,0.154148060507511
4120,0.154513082690731
4130,0.154878057471756
4140,0.15524298485982
4150,0.155607864864153
4160,0.155972697493982
4170,0.156337482758535
4180,0.156702220667034
4190,0.1570669112287
4200,0.157431554452752
4210,0.157796150348405
4220,0.158160698924875
4230,0.158525200191372
4240,0.158889654157104
4250,0.15925406083128
4260,0.159618420223103
4270,0.159982732341774
4280,0.160346997196494
4290,0.16071121479646
4300,0.161075385150865
4310,0.161439508268903
4320,0.161803584159763
4330,0.162167612832633
