"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"M",0.1,"P","D01",39.1183315716817,0.488213033743557,0.0685,0.00108012344973464,178861.111111111,2820.32234097379,1,891.86423333352
"M",0.1,"P","D07",8.75693426382878,1.23679902552151,0.0577,0.00279085809185793,150661.111111111,7287.24057318459,2,2304.42780688542
"P",0,"P","E06",0.616867580847645,0.186908565159818,0.001,0,2611.11111111111,0,1,0
"P",0,"P","E12",0.605462144518512,0.267843525272093,0.001,0,2611.11111111111,0,2,0
"P",0.00625,"P","E05",0.510968439925611,0.216457800218384,0.001,0,2611.11111111111,0,1,0
"P",0.00625,"P","E11",0.464805973724224,0.155443409509941,0.001,0,2611.11111111111,0,2,0
"P",0.0125,"P","E04",0.595309056929548,0.198107882816595,0.001,0,2611.11111111111,0,1,0
"P",0.0125,"P","E10",0.682903721959208,0.229279534454262,0.001,0,2611.11111111111,0,2,0
"P",0.025,"P","E03",0.681129810512504,0.119437432973176,0.001,0,2611.11111111111,0,1,0
"P",0.025,"P","E09",0.464888167411056,0.208624225265301,0.001,0,2611.11111111111,0,2,0
"P",0.05,"P","E02",1.07818853732681,0.203115412350033,0.001,0,2611.11111111111,0,1,0
"P",0.05,"P","E08",1.04839449631538,0.279056091088181,0.001,0,2611.11111111111,0,2,0
"P",0.1,"P","E01",2.35944611735023,0.112472513735462,0.001,0,2611.11111111111,0,1,0
"P",0.1,"P","E07",2.00092977553054,0.268010153886413,0.001,0,2611.11111111111,0,2,0
"S",0,"P","F06",0,0,0.001,0,2611.11111111111,0,1,0
"S",0,"P","F12",0.417006263746014,0.183831458165297,0.001,0,2611.11111111111,0,2,0
"S",0.00625,"P","F05",39.6199477373378,0.783773429158413,0.0562,0.00848266205595599,146744.444444444,22149.1731461073,1,7004.18354311365
"S",0.00625,"P","F11",36.563435610934,0.457368935545995,0.0543,0.00494525586350752,141783.333333333,12912.6125324919,2,4083.32661459094
"S",0.0125,"P","F04",41.2314330094895,0.11333465459039,0.0508,0.0088794394217453,132644.444444444,23185.2029345572,1,7331.80492864206
"S",0.0125,"P","F10",47.1284216232946,0.145333591123039,0.0706,0.0104477536128852,184344.444444444,27280.2455447558,2,8626.77110500892
"S",0.025,"P","F03",47.524706583922,0.151442715578438,0.0573,0.00346570499481867,149616.666666667,9049.34081980431,1,2861.6528313717
"S",0.025,"P","F09",38.0242026423587,0.609496329648947,0.0661,0.00907315943992071,172594.444444444,23691.0274264596,2,7491.76067771296
"S",0.05,"P","F02",37.1776639532956,1.0370841490879,0.0688,0.00193218356615859,179644.444444444,5045.14597830299,1,1595.41524194759
"S",0.05,"P","F08",36.3872390518029,0.766487828977228,0.0937,0.00630784344200843,244661.111111111,16470.4800985776,2,5208.42312679798
"S",0.1,"P","F01",45.9040756651159,0.229832183126314,0.0887,0.00170293863659264,231605.555555556,4446.56199554745,1,1406.12636630734
"S",0.1,"P","F07",30.665235475953,1.3505563520669,0.0803,0.00188856206322871,209672.222222222,4931.2453873194,2,1559.39671251285
"T",0,"P","G06",0.530594380424589,0.234943263278009,0.001,0,2611.11111111111,0,1,0
"T",0,"P","G12",0.494250982352458,0.130375960841789,0.001,0,2611.11111111111,0,2,0
"T",0.00625,"P","G05",0.683870164654568,0.183205211486947,0.001,0,2611.11111111111,0,1,0
"T",0.00625,"P","G11",0.532169890435796,0.172391888880699,0.001,0,2611.11111111111,0,2,0
"T",0.0125,"P","G04",4.76123099589297,0.432097839777786,0.0203,0.000823272602348565,53005.5555555556,2149.6562394657,1,679.780990310395
"T",0.0125,"P","G10",5.89376189308364,0.680911373074308,0.0097,0.00352924291535105,25327.7777777778,9215.24539008329,2,2914.116463003
"T",0.025,"P","G03",31.3195778467316,0.495221626755258,0.0217,0.000674948557710553,56661.1111111111,1762.36567846645,1,557.308961406194
