"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"E",0.05,"T","B02",6.60372556415093,0.811550710065066,0.0863,0.00149443411809733,329546.539379475,5706.66966337882,1,1804.60739904634
"E",0.05,"T","B08",6.21367868153201,0.961835205641888,0.1184,0.00189736659610103,452124.105011933,7245.31397079152,2,2291.16945107399
"E",0.1,"T","B01",5.01058253907316,0.758385705010707,0.1054,0.00556177429723046,402482.100238664,21238.2789393049,1,6716.13350301885
"E",0.1,"T","B07",4.90125596879003,0.391583927492348,0.1314,0.0021705094128133,501766.109785203,8288.34143317727,2,2621.00369539844
"M",0,"T","D06",5.88515016114294,0.304738069099817,0.1103,0.00922617050689083,421193.317422434,35231.2000263134,1,11141.0836784134
"M",0,"T","D12",5.94551088197741,0.589274685098321,0.1031,0.00546605687655899,393699.284009547,20872.7708890081,2,6600.54970881232
"M",0.00625,"T","D05",5.65031101473949,0.692122340781647,0.1092,0.00998665776590614,416992.840095465,38135.2086526249,1,12059.4118388056
"M",0.00625,"T","D11",5.82138090693021,0.523213182445751,0.1242,0.00939030232621814,474272.076372315,35857.9563769666,2,11339.2814390174
"M",0.0125,"T","D04",6.1651538189205,0.656230766593966,0.1203,0.0038020462326957,459379.474940334,14518.5536332055,1,4591.16978122422
"M",0.0125,"T","D10",7.15595562924246,0.229911920361359,0.1113,0.0122206564653641,425011.933174224,46665.9912758532,2,14757.0821701243
"M",0.025,"T","D03",6.12888432687157,0.263887278778504,0.1207,0.00675030863491935,460906.92124105,25776.8348827469,1,8151.35090995595
"M",0.025,"T","D09",6.01554538585663,0.88949608556324,0.1177,0.013292019326565,449451.07398568,50757.114373518,2,16050.8088877987
"M",0.05,"T","D02",5.78335125248961,0.157310746168146,0.1065,0.00735224833337093,406682.577565632,28075.4112968818,1,8878.22459441683
"M",0.05,"T","D08",5.58780222220493,0.237446605398332,0.1513,0.0172372336011966,577756.563245823,65822.3717468129,2,20814.8615714245
"M",0.1,"T","D01",5.01263830709164,0.377866175308782,0.1285,0.00575905084772366,490692.124105012,21991.602282477,1,6954.3552609185
